Name,Lat,Long,Category
BEXLEYTECHRIDGE / CLUBHOUSE,30.394787,-97.653242,ElecCarCharging
HIDAUSTIN / STATION 1,30.414119,-97.667009,ElecCarCharging
PIE AE / PUB UTPICKLE1,30.389653,-97.725036,ElecCarCharging
COA FLEET - PIE / RUTHERFORD #6,30.335842,-97.679443,ElecCarCharging
PIE AE / PUB DELL1,30.302504,-97.706976,ElecCarCharging
PARMER AUSTIN / STATION PIC 3,30.41332,-97.654591,ElecCarCharging
AXO GROUP LLC / AUSTIN CHARGE,30.266047,-97.733139,ElecCarCharging
PARMER AUSTIN / PIC #2,30.409607,-97.659318,ElecCarCharging
ENDEAVOR REG / STATION 1,30.479664,-97.793921,ElecCarCharging
COA FLEET - PIE / ROOF5,30.269395,-97.735644,ElecCarCharging
ENCINO STATIONS / STATION 3,30.243737,-97.84575,ElecCarCharging
SCHOOL / TRAVIS2,30.232206,-97.743837,ElecCarCharging
PIE AE / PUBDITTMAR1,30.185301,-97.801234,ElecCarCharging
TIG REAL ESTATE / PIE-STATION 1,30.265768,-97.779681,ElecCarCharging
DEVLOPER / TRAMMELL CROW 4,30.265914,-97.749008,ElecCarCharging
ENDEAVOR REG / BLUE GARAGE #1,30.403697,-97.722512,ElecCarCharging
MIRA VISTA / STATION 1,30.269525,-97.786972,ElecCarCharging
PIE AE / ANIMAL SERVICE3,30.251538,-97.690807,ElecCarCharging
PIE AE / MILWOOD LIB 1,30.422307,-97.716492,ElecCarCharging
COA FLEET - PIE / FLOOR 4 ADA,30.2696,-97.734679,ElecCarCharging
COLONIAL CTR HR / STATION 2,30.26652,-97.750175,ElecCarCharging
PIE AE / ANIMAL SERVICE2,30.251357,-97.689015,ElecCarCharging
ENCINO STATIONS / STATION 2,30.243719,-97.845686,ElecCarCharging
SUSTAINABLEFOOD / SUSTAINABLEFOOD,30.278063,-97.710153,ElecCarCharging
1224 E 12 / PAD STATION 1,30.272869,-97.726713,ElecCarCharging
FOUNDATION COMM / JORDAN3,30.298681,-97.6948,ElecCarCharging
PRESIDIUM / ELEVATION,30.233914,-97.727254,ElecCarCharging
COA FLEET - PIE / MEINARD #1,30.211361,-97.752083,ElecCarCharging
DSMCUT / EVSE07 FLOOR L1,30.275236,-97.734569,ElecCarCharging
HPI 3700 / EV 4,30.336723,-97.806259,ElecCarCharging
DOMAIN / STATION 2,30.402314,-97.718842,ElecCarCharging
AMD GO GREEN / P100 FL3 RIGHT,30.250807,-97.861717,ElecCarCharging
SOLARWINDS / SOLARWINDS #1,30.251073,-97.86319,ElecCarCharging
PIE AE / WALNUTCREEKPRK2,30.399123,-97.679489,ElecCarCharging
COA / LOT J SW,30.207559,-97.661039,ElecCarCharging
AMD GO GREEN / P100 FL4 INNER,30.251073,-97.863136,ElecCarCharging
PIE AE / PUBAISDBURGERC,30.228455,-97.809379,ElecCarCharging
PIE AE / PUB UTANTONIO 2,30.288705,-97.742539,ElecCarCharging
PIE AE / SMART CHARGE 1,30.381571,-97.713503,ElecCarCharging
PIE AE / NWRECCENTER 1,30.33403,-97.751448,ElecCarCharging
LADERA BEND / GATED GARAGE 2,30.372159,-97.80166,ElecCarCharging
ENDEAVOR REG / BLUE GARAGE #2,30.403745,-97.7225,ElecCarCharging
SILVER DOLLAR 1 / VAPRO SUPPLY,30.205844,-97.711346,ElecCarCharging
HANOVER / L1,30.265311,-97.74952,ElecCarCharging
AUSTIN / 400 - 1,30.265028,-97.748448,ElecCarCharging
PIE AE / PUBACCPINNACLE2,30.23143,-97.883171,ElecCarCharging
THE MEDVE GROUP / BARTON HILLS,30.261911,-97.773946,ElecCarCharging
PALOMA RIDGE / PALOMA BDG C #4,30.477999,-97.77797,ElecCarCharging
SALTILLO / BLOCK 4,30.263204,-97.730621,ElecCarCharging
PIE AE / PUBACCPINNACLE1,30.231403,-97.883194,ElecCarCharging
SOLARWINDS / SOLARWINDS #2,30.250799,-97.862755,ElecCarCharging
ENDEAVOR REG / STATION 2,30.47969,-97.793323,ElecCarCharging
FLATIRON DOMAIN / FLATIRON DOM 1,30.393731,-97.725579,ElecCarCharging
FOUNDRY / STATION 3,30.261051,-97.72782,ElecCarCharging
PIE AE / PUBGABLESPRESS1,30.273141,-97.759947,ElecCarCharging
PIE AE / PALMER STATION2,30.259201,-97.751695,ElecCarCharging
PIE AE / VILLATGRACYFARM,30.405175,-97.711583,ElecCarCharging
3600WESTPARMER! / STATION1,30.424046,-97.710431,ElecCarCharging
CITY VIEW / STATION2,30.283044,-97.824902,ElecCarCharging
PIE AE / PUB ACC EVIEW2,30.268166,-97.706101,ElecCarCharging
WEINSTEIN / BEXLEY 1,30.473632,-97.809632,ElecCarCharging
HPI 3700 / EV 5,30.336623,-97.807619,ElecCarCharging
1801 E 6TH / AUSTIN 1801 1,30.261687,-97.723468,ElecCarCharging
GPT / GPT 3,30.268396,-97.754401,ElecCarCharging
CITY VIEW / STATION1,30.280698,-97.824024,ElecCarCharging
RAINEY STREET / MILLENNIUM 02,30.260538,-97.738296,ElecCarCharging
GALLERY DOMAIN / GALLERY DOMAIN,30.396207,-97.722102,ElecCarCharging
ENCINO STATIONS / STATION 1,30.243726,-97.845725,ElecCarCharging
CZPROPERTIES / FLOOR 2 UNIT 2,30.277056,-97.742637,ElecCarCharging
AUSTIN / 400 - 3,30.26505,-97.74849,ElecCarCharging
ST. JOHNS WEST / ST JOHNS NW,30.337818,-97.714804,ElecCarCharging
NATIONAL INSTRU / 3&4,30.408744,-97.725343,ElecCarCharging
WHITLEY MAIN / PIE-M WHITLEY,30.265199,-97.742194,ElecCarCharging
HPI 3700 / EV 2,30.336797,-97.806151,ElecCarCharging
SALTILLO / BLOCK 3,30.263129,-97.731254,ElecCarCharging
PALOMA RIDGE / PALOMA BDG C #7,30.477991,-97.77827,ElecCarCharging
NATIONAL INSTRU / 13&14;,30.408775,-97.725228,ElecCarCharging
AMD GO GREEN / P300 FL2,30.249626,-97.860776,ElecCarCharging
PIE AE / PUBGABLESPRESS2,30.273037,-97.759986,ElecCarCharging
PIE AE / TACARASR1,30.385777,-97.886769,ElecCarCharging
PALOMA RIDGE / PALOMA1B,30.477229,-97.777396,ElecCarCharging
COA FLEET - PIE / ED BLUE #1,30.277058,-97.666953,ElecCarCharging
PIE AE / SMART CHARGE 2,30.381493,-97.713361,ElecCarCharging
ENDEAVOR REG / STATION1,30.479716,-97.793285,ElecCarCharging
COA / DOA - CONRAC2,30.204655,-97.666451,ElecCarCharging
PIE AE / ANIMAL SERVICE1,30.251369,-97.689082,ElecCarCharging
GIBSON FLATS / STATION1,30.254007,-97.762023,ElecCarCharging
